HOPSID SourceIndex Lbol (Lsol) Sd2 (mJy*kpc2)
56 - 19.70 <0.05 0
57 46 2.72 0.03 flat spectrum
58 - 3.81 0.019 flat spectrum
59 42 41.77 0.11 flat spectrum
60 39 18.52 0.019 0
64 - 12.97 0.0016 I
66 24 17.70 0.019 flat spectrum (24+25)
68 - 4.80 <0.009 I
70 - 5.84 <0.009 flat spectrum
71 11 4.73 0.08 I
73 - 1.44 <0.012 0
74 - 0.96 <0.015 flat spectrum
75 - 3.40 <0.016 0
76 - 1.57 <0.018 I
78 1 7.54 0.06 0
81 - 1.05 <0.03 0
84 - 41.48 <0.06 I
108 - 32.37 0.003 0
368 34 58.15 0.07 I
369 32 29.83 0.005 flat spectrum
370 - 304.80 0.3 I
394 9 4.68 0.04 0
409 43 6.90 0.009 0
